ds,Open,High,Low,Close,y,Volume
13-04-2011,227.945007,238.365005,227.5,236.895004,199.15123,9033890
15-04-2011,237.5,239.199997,234.399994,236.309998,198.659439,8590930
18-04-2011,237.880005,239.985001,230.434998,231.179993,194.346771,10353270
19-04-2011,234,235.880005,232.445007,234.75,197.347946,7462430
20-04-2011,236.054993,238.899994,234.800003,237.195007,199.403412,6548070
21-04-2011,238.199997,241.690002,238.199997,241.065002,202.656845,16205350
25-04-2011,242.300003,244.104996,238.600006,239.100006,201.004898,6322870
26-04-2011,238.654999,239.785004,234.050003,235.985001,198.3862,6321850
27-04-2011,237.600006,237.899994,232.630005,235.324997,197.831345,7147650
28-04-2011,236.315002,236.899994,233,233.774994,196.528305,13384820
29-04-2011,232.5,233.970001,228.100006,229.554993,192.980667,9312940
02-05-2011,230.600006,231.570007,226.199997,229.014999,192.526718,7078370
03-05-2011,228.854996,229.565002,222.220001,223.565002,187.945053,10740280
04-05-2011,224.399994,228.514999,220.779999,226.145004,190.113983,13210610
05-05-2011,225.585007,227.479996,221,222.044998,186.667221,9349490
06-05-2011,222.5,232,222.5,229.725006,193.123596,10775730
09-05-2011,230.199997,231.5,224.839996,227.884995,191.576736,3898590
10-05-2011,227.800003,227.800003,222.509995,224.639999,188.848755,6523220
11-05-2011,226,226.889999,222.100006,226.104996,190.080338,4910850
12-05-2011,225,226.490005,223.5,224.020004,188.327545,4739430
13-05-2011,223.199997,229,222.585007,225.104996,189.23967,5823070
16-05-2011,224.5,226.610001,223.630005,225.304993,189.407822,6270620
17-05-2011,225.199997,227.395004,224.100006,225.244995,189.357376,6111940
18-05-2011,225.809998,227.770004,224.300003,226.735001,190.609955,6935480
19-05-2011,227.050003,228.399994,225.770004,227.380005,191.152237,7511270
20-05-2011,227,232,225.539993,231.570007,194.674637,11913870
23-05-2011,229.5,229.880005,224.595001,226.470001,190.387192,10046400
24-05-2011,225.399994,229.25,224.820007,225.529999,189.59697,4502440
25-05-2011,225,226.699997,224.535004,225.475006,189.550735,4157440
